,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
SD,SandRidge Energy Inc,"SandRidge Energy Inc is an oil and natural gas company engaged in exploration, development and production activities in the Mid Continent, Gulf of Mexico and Gulf Coast.",Distressed,http://www.sandridgeenergy.com,0.5Bil,-1887.2Mil,0.4Bil,"1,165",Energy,Oil & Gas E&P
SDT,SandRidge Mississippian Trust I,"SandRidge Mississippian Trust I is a statutory trust. It holds Royalty Interests in specified oil and natural gas properties located in the Mississippian formation in Alfalfa, Garfield, Grant and Woods counties in Oklahoma.",Hard,http://www.sandridgeenergy.com,37.0Mil,22.3Mil,25.2Mil,,Energy,Oil & Gas E&P
SDR,SandRidge Mississippian Trust II,"SandRidge Mississippian Trust II holds Royalty Interests in specified oil & natural gas properties located in Mississippian formation in Alfalfa, Kay, Noble & Woods counties in Oklahoma and Barber, Comanche, Harper and Sumner counties in southern Kansas.",Hard,http://www.sandridgeenergy.com,70.6Mil,21.5Mil,26.1Mil,,Energy,Oil & Gas E&P
PER,SandRidge Permian Trust,"SandRidge Permian Trust earns royalty interests in specified oil & natural gas properties in the Permian Basin located in Andrews County, Texas & the equivalent of 888 oil & natural gas development wells to be drilled within an area of mutual interest.",Hard,http://www.sandridgeenergy.com,0.2Bil,28.5Mil,33.6Mil,20,Energy,Oil & Gas E&P
SNY,Sanofi SA ADR,"Sanofi SA is a healthcare company engaged in the research, development, manufacture and marketing of healthcare products.",,http://www.sanofi.com,103.0Bil,4.4Bil,36.1Bil,"115,631",Healthcare,Drug Manufacturers - Major
SC,Santander Consumer USA Holdings Inc,Santander Consumer USA Holdings Inc is engaged in indirect origination of retail installment contracts principally through manufacturer-franchised dealers in connection with their sale of used and new automobiles and light-duty trucks to retail consumers.,Cyclical,http://www.santanderconsumerusa.com,4.9Bil,0.7Bil,4.9Bil,"5,100",Financial Services,Specialty Finance
SAP,SAP SE ADR,"SAP SE sells licenses for software solutions and related support services. It also offers consulting, training and other services for its software solutions.",,http://www.sap.com,102.2Bil,3.6Bil,22.9Bil,"82,426",Technology,Software - Application
SSL,Sasol Ltd ADR,"Sasol Ltd is an international integrated energy and chemicals company. It develops and commercializes technologies, and builds and operates facilities, to produce product streams, including liquid fuels, chemicals and low-carbon electricity.",,http://www.sasol.com,16.7Bil,0.9Bil,12.0Bil,"30,100",Energy,Oil & Gas Integrated
BFS,Saul Centers Inc,"Saul Centers Inc is a real estate investment trust engaged in the ownership, management & development of income-producing properties. Its long-term objectives are to increase cash flow from operations & to maximize capital appreciation of its real estate.",Hard,http://www.saulcenters.com,1.4Bil,45.1Mil,0.2Bil,61,Real Estate,REIT - Retail
SCG,SCANA Corp,"SCANA Corp is engaged in the generation & sale of electricity and in the purchase, sale & transportation of natural gas to its customers. It also conducts other energy-related businesses & provides fiber optic communications in South Carolina.",Slow,http://www.scana.com,10.0Bil,0.6Bil,4.1Bil,"5,829",Utilities,Utilities - Regulated Electric
SLB,Schlumberger Ltd,"Schlumberger Ltd is a supplier of technology, integrated project management and information solutions to customers working in the oil and gas industry. Its business segments are Reservoir Characterization Group, Drilling Group and Production Group.",,http://www.slb.com,111.3Bil,-2498.0Mil,28.7Bil,,Energy,Oil & Gas Equipment & Services
SWM,Schweitzer-Mauduit International Inc,Schweitzer-Mauduit International Inc is a diversified producer of premium specialty papers and resin-based products. It manufactures and sells paper and reconstituted tobacco products to the tobacco industry as well as specialized paper products.,High,http://www.swmintl.com,1.3Bil,87.5Mil,0.9Bil,"3,100",Basic Materials,Paper & Paper Products
SAIC,Science Applications International Corp,"Science Applications International Corp is a provider of technical, engineering and enterprise information technology services to the U.S. government, including the Department of Defense and federal civilian agencies.",Slow,http://www.saic.com,3.5Bil,0.1Bil,4.5Bil,"15,000",Technology,Information Technology Services
SALT,Scorpio Bulkers Inc,"Scorpio Bulkers Inc is engaged in acquiring and operating newbuilding drybulk carriers with fuel-efficient specifications and carrying capacities of greater than 30,000 dwt in the international shipping markets. It owns ten Kamsarmax vessels.",,http://www.scorpiobulkers.com,0.4Bil,-406.3Mil,73.6Mil,4,Industrials,Shipping & Ports
STNG,Scorpio Tankers Inc,"Scorpio Tankers Inc provides seaborne transportation of refined petroleum products in the international shipping markets. Its fleet consists of 79 product tankers, 11 time chartered-in product tankers, and one LR2 bareboat chartered-in product tanker.",,http://www.scorpiotankers.com,0.7Bil,39.0Mil,0.6Bil,17,Industrials,Shipping & Ports
SMG,The Scotts Miracle Gro Co A,"The Scotts Miracle Gro Co and its subsidiaries are engaged in manufacturing, marketing and selling of dry, granular slow-release lawn fertilizers, combination lawn fertilizer and control products, and continuous release garden and indoor plant foods.",Cyclical,http://www.scottsmiraclegro.com,5.3Bil,0.3Bil,3.1Bil,"7,900",Basic Materials,Agricultural Inputs
SA,Seabridge Gold Inc,"Seabridge Gold Inc is engaged in the acquisition and exploration of gold properties in North America. It owns five properties with gold resources through its KSM Project, its Courageous Lake Project and its newly acquired Iksut Property.",,http://www.seabridgegold.net,0.5Bil,-6.9Mil,,12,Basic Materials,Gold
CKH,SEACOR Holdings Inc,"SEACOR Holdings Inc owns, operates & markets equipment's in the offshore oil and gas, shipping and logistics industries. Its business segment includes Offshore Marine Services, Inland River Services, Shipping Services, Illinois Corn Processing and Other.",Distressed,http://www.seacorholdings.com,1.0Bil,-179.0Mil,0.9Bil,"4,849",Energy,Oil & Gas Equipment & Services
SDRL,Seadrill Ltd,"Seadrill Ltd provides drilling & well services to the offshore industry. It has a fleet of drilling units that is outfitted to operate in shallow water, mid-water and deepwater areas, in benign and harsh environments.",,http://www.seadrill.no,1.2Bil,-1210.0Mil,3.7Bil,"6,995",Energy,Oil & Gas Drilling
SDLP,Seadrill Partners LLC,"Seadrill Partners LLC is engaged in owing, operating and acquiring offshore drilling units. Its drilling rigs are under long-term contracts with oil companies such as Chevron, Total, BP and ExxonMobil.",,http://www.seadrillpartners.com,0.3Bil,0.2Bil,1.8Bil,"1,507",Energy,Oil & Gas Drilling
SEE,Sealed Air Corp,"Sealed Air Corp is engaged in food safety and security, facility hygiene and product protection. The Company operates in food and beverage processing, retail, healthcare and industrial, and commercial and consumer applications.",Cyclical,http://www.sealedair.com,9.1Bil,0.4Bil,6.8Bil,"23,000",Consumer Cyclical,Packaging & Containers
SSW,Seaspan Corp,Seaspan Corp is an independent charter owner and manager of containerships. It operates a fleet of approximately 85 containerships.,,http://www.seaspancorp.com,1.0Bil,-64.3Mil,0.9Bil,"4,700",Industrials,Shipping & Ports
SEAS,SeaWorld Entertainment Inc,SeaWorld Entertainment Inc is a theme park and entertainment company. It provides experiences that matter and inspiring guests to protect animals and the wild wonders of our world.,Cyclical,http://www.seaworldentertainment.com,1.5Bil,-11.7Mil,1.3Bil,"11,100",Consumer Cyclical,Leisure
JBR,James Bay Resources Ltd,"James Bay Resources Ltd is engaged in the exploration and evaluation of oil and gas interests in Nigeria and has interests in resource properties in the Porcupine mining district of Ontario, Canada.",,http://www.jamesbayresources.com,8.1Mil,4.8Mil,,,Energy,Oil & Gas E&P
SEM,Select Medical Holdings Corp,Select Medical Holdings Corp provides long term acute care hospital services and inpatient acute rehabilitative hospital care.,Classic,http://www.selectmedical.com,1.7Bil,0.1Bil,4.3Bil,"41,000",Healthcare,Medical Care
SEMG,Semgroup Corp,"Semgroup Corp provides gathering, transportation, storage, distribution, marketing and other midstream services to independent producers, refiners of petroleum products and other market participants in the Midwest and Rocky Mountain regions.",Hard,http://www.semgroupcorp.com,2.3Bil,-13.9Mil,1.3Bil,"1,160",Energy,Oil & Gas Midstream
SMI,Semiconductor Manufacturing International Corp ADR,"Semiconductor Manufacturing International Corp is engaged in the computer-aided design, manufacturing, testing, packaging, and trading of integrated circuits and other semiconductor services. It also designs and manufactures semiconductor masks.",,http://www.smics.com,0.6Bil,0.3Bil,2.7Bil,"13,473",Technology,Semiconductors
SRE,Sempra Energy,"Sempra Energy is an energy services holding company, which provides electric, natural gas and other energy products and services to its customers.",Slow,http://www.sempra.com,25.0Bil,1.4Bil,10.0Bil,"17,387",Utilities,Utilities - Diversified
ST,Sensata Technologies Holding N.V.,"Sensata Technologies Holding N.V. is an industrial technology company. The Company develops, manufactures and sells sensors and controls. Its products include temperature sensors, speed sensors, position sensors, force sensors and motor protectors.",,http://www.sensata.com,6.3Bil,0.4Bil,3.1Bil,"19,650",Technology,Scientific & Technical Instruments
SXT,Sensient Technologies Corp,"Sensient Technologies Corp is a manufacturer and marketer of colors, flavors and fragrances used to develop foods and beverage systems, cosmetic and pharmaceutical systems,inkjet and specialty inks and colors.",Cyclical,http://www.sensient.com,3.4Bil,0.1Bil,1.4Bil,"4,032",Basic Materials,Specialty Chemicals
SQNS,Sequans Communications SA ADR,"Sequans Communications SA is a fabless designer, developer and supplier of 4G LTE & WiMAX semiconductor solutions for wireless mobile broadband applications, with a specific focus on the single-mode device market.",,http://www.sequans.com,0.1Bil,-29.3Mil,42.5Mil,196,Technology,Semiconductors
SRG,Seritage Growth Properties A,"Seritage Growth Properties is a self-administered, self-managed REIT engaged in the real estate property business through its investment in Seritage Growth Properties, L.P.",Hard,http://www.seritage.com,2.7Bil,,,21,Real Estate,REIT - Diversified
SCI,Service Corp International,"Service Corp International is a provider of deathcare products and services. The Company's funeral service and cemetery operations consist of funeral service locations, cemeteries, funeral service/cemetery combination locations and related businesses.",Classic,http://www.sci-corp.com,5.0Bil,0.2Bil,3.0Bil,"23,785",Consumer Cyclical,Personal Services
SERV,ServiceMaster Global Holdings Inc,"ServiceMaster Global Holdings Inc is a provider of residential and commercial services, operating through a service network of franchised and licensed locations.",Cyclical,http://www.servicemaster.com,5.0Bil,0.1Bil,2.7Bil,"13,000",Industrials,Business Services
NOW,ServiceNow Inc,"ServiceNow Inc is a provider of cloud-based solutions that define, structure, manage and automate services across the enterprise. Its services include a suite of applications built on proprietary platform.",Speculative,http://www.servicenow.com,14.2Bil,-456.6Mil,1.3Bil,"4,501",Technology,Software - Application
SHAK,Shake Shack Inc,"Shake Shack Inc is a roadside burger stand. The Company along with its subsidiaries operates and licenses restaurants in the food service industry, serving hamburgers, hot dogs, crinkle-cut fries, shakes, frozen custard, beer and wine.",Cyclical,https://www.shakeshack.com,1.3Bil,9.8Mil,0.2Bil,"2,215",Consumer Cyclical,Restaurants
SJR,Shaw Communications Inc Class B,"Shaw Communications Inc is a diversified communications & media company, providing consumers with broadband cable television, high-speed internet, home phone, telecommunications services, satellite direct-to-home services & engaging programming.",,http://www.shaw.ca,9.4Bil,1.0Bil,4.2Bil,"14,000",Communication Services,Pay TV
SHLX,Shell Midstream Partners LP,"Shell Midstream Partners LP owns, operate, develop and acquire pipelines and other midstream assets.",Hard,http://www.shellmidstreampartners.com,4.7Bil,0.2Bil,0.3Bil,,Energy,Oil & Gas Midstream
SHW,Sherwin-Williams Co,"Sherwin-Williams Co is engaged in the development, manufacture, distribution & sale of paint, coatings & related products to professional, industrial, commercial & retail customers in North and South America, the Caribbean region, Europe and Asia.",Cyclical,http://www.sherwin-williams.com,24.2Bil,1.1Bil,11.7Bil,"40,706",Basic Materials,Specialty Chemicals
SHG,Shinhan Financial Group Co Ltd ADR,"Shinhan Financial Group Co Ltd provides financial service. The Company's services include commercial banking, credit card services, securities brokerage, life insurance, asset management services, and other services.",,http://www.shinhangroup.co.kr,17.7Bil,2.2Bil,7.0Bil,"39,062",Financial Services,Banks - Regional - Asia
SFL,Ship Finance International Ltd,"Ship Finance International Ltd is an international ship owning and chartering company. The Company is engaged in the ownership and operation of vessels and offshore related assets, and also involved in the charter, purchase and sale of assets.",,http://www.shipfinance.bm,1.3Bil,0.2Bil,0.4Bil,7,Industrials,Shipping & Ports
SHOP,Shopify Inc A,"Shopify Inc provides cloud-based, multi-channel commerce platform designed for small and medium-sized businesses. The Company's platform provides merchants with a single view of their business and customers across all of their sales channels.",,http://www.shopify.com,3.9Bil,-32.8Mil,0.3Bil,"1,048",Technology,Software - Application
SSTK,Shutterstock Inc,"Shutterstock Inc operates marketplace and provides commercial digital imagery including licensed photographs, vectors, illustrations and video clips; and commercial music including music tracks and sound effects.",Cyclical,http://www.shutterstock.com,1.7Bil,29.6Mil,0.5Bil,627,Industrials,Business Services
SBGL,Sibanye Gold Ltd ADR,"Sibanye Gold Ltd is a producer of gold and a holder of gold reserves in South Africa. The Company is involved in underground and surface gold mining and related activities, including extraction, and processing.",,http://www.sibanyegold.co.za,2.1Bil,60.2Mil,1.9Bil,"39,725",Basic Materials,Gold
SIG,Signet Jewelers Ltd,"Signet Jewelers Ltd is a retailer of diamond jewelry. It is engaged in retailing of jewelry, watches and associated services in United Kingdom and United States.",,http://www.signetjewelers.com,6.7Bil,0.5Bil,6.6Bil,"29,057",Consumer Cyclical,Luxury Goods
SBY,Silver Bay Realty Trust Corp,"Silver Bay Realty Trust Corp is an internally-managed real estate investment trust. The Company is engaged in acquisition, renovation, leasing, and management of single-family properties in select markets in the United States.",Distressed,http://www.silverbayrealtytrustcorp.com,0.6Bil,-5.9Mil,0.1Bil,176,Real Estate,REIT - Residential
SSNI,Silver Spring Networks Inc,"Silver Spring Networks Inc provides networking platform and solutions that enable utilities to transform the power grid infrastructure into the smart grid. The Company operates in United States, Australia and rest of world.",Cyclical,http://www.silverspringnetworks.com,0.8Bil,54.2Mil,0.4Bil,652,Technology,Computer Systems
SLW,Silver Wheaton Corp,Silver Wheaton Corp is a mining company engaged in sale of silver and gold.,,http://www.silverwheaton.com,8.3Bil,15.0Mil,0.8Bil,35,Basic Materials,Silver
SPG,Simon Property Group Inc,"Simon Property Group Inc is real estate investment trust. It owns, develops and manages retail real estate properties including malls, outlets and community & lifestyle centers.",Hard,http://www.simon.com,56.8Bil,1.8Bil,5.4Bil,"5,000",Real Estate,REIT - Retail
SSD,Simpson Manufacturing Co Inc,"Simpson Manufacturing Co Inc through its subsidiary designs, engineers and manufactures wood construction products, including connectors, truss plates, fastening systems, fasteners and pre-fabricated shearwalls and concrete construction products.",Cyclical,http://www.simpsonmfg.com,2.2Bil,87.1Mil,0.8Bil,"2,498",Industrials,Tools & Accessories
SHI,Sinopec Shanghai Petrochemical Co Ltd ADR,"Sinopec Shanghai Petrochemical Co Ltd is a petrochemical company. The Company, along with its subsidiaries, is engaged in processing crude oil into synthetic fibres, resins and plastics, intermediate petrochemicals and petroleum products.",,http://www.spc.com.cn,5.6Bil,0.7Bil,8.7Bil,"12,159",Energy,Oil & Gas Refining & Marketing
SITE,SiteOne Landscape Supply Inc,"SiteOne Landscape Supply Inc is a supplier of wholesale irrigation, outdoor lighting, nursery, landscape supplies, fertilizers, turf protection products, grass seed, turf care equipment & golf course accessories for green industry professionals.",Cyclical,http://www.siteone.com,1.4Bil,30.3Mil,1.6Bil,"2,850",Industrials,Industrial Distribution
SIX,Six Flags Entertainment Corp,"Six Flags Entertainment Corp is a theme park operator. It owns and operates regional theme, water and zoological parks.",High,http://www.sixflags.com,5.2Bil,0.1Bil,1.3Bil,"43,900",Consumer Cyclical,Leisure
SJW,SJW Group,"SJW Group along with its subsidiaries is engaged in the production, purchase, storage, purification, distribution, wholesale, and retail sale of water. Its operating business segments are Water Utility Services and Real Estate Investment.",Classic,http://www.sjwater.com,1.1Bil,55.3Mil,0.3Bil,399,Utilities,Utilities - Regulated Water
SKM,SK Telecom Co Ltd ADR,"SK Telecom Co Ltd provides wireless telecommunications services. The Company's business segments are cellular services, fixed-line telecommunication services, and other businesses.",,http://www.sktelecom.com,13.3Bil,1.3Bil,14.5Bil,"4,401",Communication Services,Telecom Services
SKX,Skechers USA Inc,"Skechers USA Inc designs and markets Skechers-branded lifestyle footwear for men, women and children, and performance footwear for men and women under the Skechers GO brand name.",Cyclical,http://www.skechers.com,3.5Bil,0.3Bil,3.5Bil,"9,200",Consumer Cyclical,Footwear & Accessories
SLG,SL Green Realty Corp,"SL Green Realty Corp is a self-managed real estate investment trust, with in-house capabilities in property management, acquisitions and dispositions, financing, development and redevelopment, construction and leasing.",Hard,http://www.slgreen.com,10.5Bil,0.3Bil,1.9Bil,"1,177",Real Estate,REIT - Office
SM,SM Energy Co,"SM Energy Company is an energy company engaged in the acquisition, exploration, development, and production of oil, gas, and NGLs in onshore North America.",Hard,http://www.sm-energy.com,3.0Bil,-897.1Mil,1.1Bil,786,Energy,Oil & Gas E&P
SFS,Smart & Final Stores Inc,"Smart & Final Stores Inc is a food retailer serving household and business customers through two store banners. Its Smart & Final stores serve both household and business customers, and its Cash & Carry stores serve primarily business customers.",Aggressive,http://www.smartandfinal.com,1.0Bil,23.2Mil,4.3Bil,"10,956",Consumer Defensive,Grocery Stores
SNN,Smith & Nephew PLC ADR,"Smith & Nephew PLC develops, manufactures, markets and sells medical devices. Its segments include Advanced Surgical Devices and Advanced Wound Management.",,http://www.smith-nephew.com,12.7Bil,0.4Bil,4.7Bil,"15,000",Healthcare,Medical Devices
AOS,A.O. Smith Corp,"A.O. Smith Corp manufactures and markets water heaters and boilers, for residential and commercial end markets. The Company has two reporting segments; North America and Rest of World.",Cyclical,http://www.aosmith.com,8.2Bil,0.3Bil,2.6Bil,"13,400",Industrials,Diversified Industrials
SNA,Snap-on Inc,"Snap-on Inc is a manufacturer and marketer of tools, equipment, diagnostics, repair information and systems solutions for professional users. Its products and services include hand and power tools, tool storage, diagnostic software and among others.",Cyclical,http://www.snapon.com,9.7Bil,0.5Bil,3.4Bil,"11,500",Industrials,Tools & Accessories
SQM,Sociedad Quimica Y Minera De Chile SA ADR,"Sociedad Quimica Y Minera De Chile SA is an integrated producer of potassium nitrate and iodine chemicals. It also produces plant nutrients, potassium chloride, potassium sulfate and certain industrial chemicals including industrial nitrates.",,http://www.sqm.com,7.2Bil,0.2Bil,1.7Bil,"4,250",Basic Materials,Chemicals
SAH,Sonic Automotive Inc,"Sonic Automotive Inc is an automotive retailer in the United States. It provides services such as sales of both new and used cars and light trucks, replacement parts, performance of vehicle maintenance, manufacturer warranty repairs and collision repair.",Cyclical,http://www.sonicautomotive.com,0.9Bil,86.6Mil,9.6Bil,"9,800",Consumer Cyclical,Auto & Truck Dealerships
SON,Sonoco Products Co,"Sonoco Products Co is a manufacturer of industrial and consumer packaging products and a provider of packaging services. Its business segments are Consumer Packaging, Paper and Industrial Converted Products, Display & Packaging, and Protective Solutions.",Cyclical,http://www.sonoco.com,5.4Bil,0.2Bil,4.9Bil,"21,000",Consumer Cyclical,Packaging & Containers
SNE,Sony Corp ADR,"Sony Corp is engaged in the development, design, manufacture, and sale of various kinds of electronic equipment, instruments and devices for consumer, professional & industrial markets as well as game consoles and software.",,http://www.sony.net,36.8Bil,0.5Bil,69.6Bil,"125,300",Technology,Consumer Electronics
BID,Sothebys Class A,"Sothebys is an auctioneer of authenticated fine art, decorative art, jewelry, wine and collectibles. Its operating segments are agency segment and finance segment.",Cyclical,http://www.sothebys.com,2.0Bil,-2.5Mil,0.8Bil,"1,596",Consumer Cyclical,Specialty Retail
SJI,South Jersey Industries Inc,"South Jersey Industries Inc is an energy services holding company. The Company through its subsidiaries provides regulated, natural gas service to residential, commercial, and industrial customers in United States.",Classic,http://www.sjindustries.com,2.5Bil,0.1Bil,1.0Bil,720,Utilities,Utilities - Regulated Gas
SXE,Southcross Energy Partners LP,"Southcross Energy Partners LP provides natural gas gathering, processing, treating, compression and transportation services, and natural gas liquid (NGL) fractionation and transportation services for its producer customers.",Classic,http://www.southcrossenergy.com,83.2Mil,-199.3Mil,0.6Bil,156,Utilities,Utilities - Regulated Gas
SO,Southern Co,"Southern Co through its traditional operating companies, provides electric service in four Southeastern states.",High,http://www.southerncompany.com,46.2Bil,2.6Bil,18.3Bil,"26,703",Utilities,Utilities - Regulated Electric
SCCO,Southern Copper Corp,"Southern Copper Corp is a producer of copper, molybdenum, zinc and silver. The Company's segments include Peruvian operations, Mexican open-pit operations and Mexican underground mining operations.",Cyclical,http://www.southerncoppercorp.com,24.5Bil,0.7Bil,5.2Bil,"13,024",Basic Materials,Copper
LUV,Southwest Airlines Co,Southwest Airlines Co is an operator of passenger airline that provides scheduled air transportation in the United States and international markets.,Cyclical,http://www.southwest.com,29.0Bil,2.3Bil,20.3Bil,"53,072",Industrials,Airlines
SWX,Southwest Gas Corp,"Southwest Gas Corp is engaged in purchasing, distributing & transporting natural gas in portions of Arizona, Nevada & California. The Company is also engaged in providing construction services.",Speculative,http://www.swgas.com,3.5Bil,0.2Bil,2.5Bil,"5,876",Utilities,Utilities - Regulated Gas
SWN,Southwestern Energy Co,"Southwestern Energy Co is an energy company. It explores, develops, and produces natural gas and crude oil within the United States.",Hard,"irelatio@swn.com
Site",5.2Bil,-4540.0Mil,2.4Bil,"2,597",Energy,Oil & Gas E&P
SWNC,Southwestern Energy Co Pref Share,"Southwestern Energy Co is an energy company. It explores, develops, and produces natural gas and crude oil within the United States.",Hard,"irelatio@swn.com
Site",,-4540.0Mil,2.4Bil,"2,597",Energy,Oil & Gas E&P
SPA,Sparton Corp,"Sparton Corp is a provider of design, development, and manufacturing services for complex electromechanical devices and engineered products. The Company serves the medical & biotechnology, military & aerospace and industrial & commercial markets.",Cyclical,http://www.sparton.com,0.2Bil,-40.6Mil,0.4Bil,"1,697",Technology,Electronic Components
STN,Stantec Inc,"Stantec Inc provides professional services in the area of infrastructure and facilities for clients in the public and private sectors. The Company's services include planning, engineering, architecture, interior design, surveying and project management.",,http://www.stantec.com,2.9Bil,93.5Mil,2.8Bil,"22,000",Industrials,Engineering & Construction
SE,Spectra Energy Corp,Spectra Energy Corp is a natural gas infrastructure company. The Company through its subsidiaries and equity affiliates owns and operates a portfolio of complementary natural gas-related energy assets. It also own and operate a crude oil pipeline system.,Hard,http://www.spectraenergy.com,28.9Bil,0.3Bil,4.9Bil,"6,000",Energy,Oil & Gas Midstream
SEP,Spectra Energy Partners LP,"Spectra Energy Partners LP is engaged in the transmission, storage and gathering of natural gas, the transportation and storage of crude oil and the transportation of natural gas liquids.",Hard,http://www.spectraenergypartners.com,12.8Bil,1.2Bil,2.5Bil,62,Energy,Oil & Gas Midstream
SPB,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings Inc is a diversified consumer products company. The Company is engaged in manufacturing and marketing alkaline, zinc carbon and hearing aid batteries, herbicides, insecticides and repellents and specialty pet supplies.",Speculative,http://www.spectrumbrands.com,7.2Bil,0.4Bil,5.0Bil,"15,700",Consumer Defensive,Household & Personal Products
TRK,Speedway Motorsports Inc,"Speedway Motorsports Inc promotes & markets motorsports activities. It owns & operates facilities including Atlanta Motor Speedway, Bristol Motor Speedway & Charlotte Motor Speedway & offers event & non-event souvenir merchandising & distribution service.",Cyclical,http://www.speedwaymotorsports.com,0.8Bil,35.9Mil,0.5Bil,"1,087",Consumer Cyclical,Leisure
SR,Spire Inc,"Spire Inc, along with its subsidiaries is engaged in the purchase, retail distribution and sale of natural gas. The Company is also indulged in marketing of natural gas and related activities on a non-regulated basis.",Aggressive,http://www.thelacledegroup.com,2.9Bil,0.1Bil,1.5Bil,"3,296",Utilities,Utilities - Regulated Gas
SPR,Spirit AeroSystems Holdings Inc,Spirit AeroSystems Holdings Inc is an independent non-OEM aircraft parts designer and manufacturer of commercial aerostructures. The Company is also an independent supplier of aerostructures to Airbus.,Cyclical,http://www.spiritaero.com,6.8Bil,0.5Bil,6.8Bil,"15,200",Industrials,Aerospace & Defense
SRC,Spirit Realty Capital Inc,"Spirit Realty Capital Inc is a self-administered & self-managed REIT. It invests in single-tenant, operationally essential real estate leased on a long-term, triple-net basis to tenants operating within retail, office & industrial property types.",Hard,http://www.spiritrealty.com,5.1Bil,0.1Bil,0.7Bil,71,Real Estate,REIT - Diversified
SRLP,Sprague Resources LP,"Sprague Resources LP is engaged in the purchase, storage, distribution and sale of refined products and natural gas, and provides storage and handling services for a broad range of materials.",Hard,http://www.spragueenergy.com,0.5Bil,38.7Mil,2.3Bil,590,Energy,Oil & Gas Refining & Marketing
S,Sprint Corp,"Sprint Corp is a communications company offering wireless and wireline communications products and services to individual consumers, businesses, government subscribers and resellers.",Slow,http://www.sprint.com,29.3Bil,-1834.0Mil,32.4Bil,"30,000",Communication Services,Telecom Services
SPXC,SPX Corp,"SPX Corp is a supplier of infrastructure equipment. It offers products including processing systems and components for the food and beverage industry, pumps, valves and filtration equipment used in oil and gas processing, and power transformers.",Distressed,http://www.spx.com,1.0Bil,9.4Mil,1.7Bil,"6,000",Industrials,Diversified Industrials
FLOW,SPX FLOW Inc,"SPX Flow Inc is engaged in engineering, designing and manufacturing of flow control systems integral to process, blend, transport, meter, filters and dehydrate various types of fluids, gases and powders across a range of applications.",Cyclical,http://www.spx.com,1.3Bil,-367.5Mil,2.1Bil,"8,000",Industrials,Diversified Industrials
SQ,Square Inc A,Square Inc is engaged in providing solution from payments and point-of-sale services to financial services and marketing services. It provides a free software app with its hardware to turn mobile devices into powerful POS solutions in minutes.,Speculative,https://www.squareup.com,4.3Bil,-204.7Mil,1.6Bil,"1,449",Technology,Software - Application
JOE,The St. Joe Co,"The St. Joe Co is a real estate development and operating company. The Company operates residential real estate, commercial real estate, resorts, leisure and leasing operations and forestry between Tallahassee and Destin, Florida.",Hard,http://www.joe.com,1.4Bil,10.6Mil,98.1Mil,55,Real Estate,Real Estate - General
STJ,St Jude Medical Inc,"St Jude Medical Inc develops, manufactures and distributes cardiovascular medical devices for cardiac rhythm management, cardiovascular, atrial fibrillation therapy areas and neurostimulation medical devices for the management of chronic pain.",Slow,http://www.sjm.com,22.9Bil,0.7Bil,6.0Bil,"18,000",Healthcare,Medical Devices
STAG,Stag Industrial Inc,"Stag Industrial Inc is an industrial real estate company focused on the acquisition, ownership and management of single-tenant industrial buildings throughout the United States.",Hard,http://www.stagreit.com,1.7Bil,-17.6Mil,0.2Bil,68,Real Estate,REIT - Industrial
SSI,Stage Stores Inc,"Stage Stores Inc operates specialty department stores. The Company's merchandise assortment is a well-edited selection of moderately priced brand name and private label apparel, accessories, cosmetics, footwear and home goods.",High,http://www.stagestoresinc.com,0.1Bil,-4.6Mil,1.5Bil,"13,500",Consumer Cyclical,Apparel Stores
SMP,Standard Motor Products Inc,"Standard Motor Products Inc is an independent manufacturer and distributor of replacement parts for motor vehicles in the automotive aftermarket industry in heavy duty, industrial equipment and the original equipment service market.",Cyclical,http://www.smpcorp.com,1.2Bil,57.3Mil,1.0Bil,"3,400",Consumer Cyclical,Auto Parts
SXI,Standex International Corp,Standex International Corp is a manufacturer of products and services for industrial market segments.,Cyclical,http://www.standex.com,1.1Bil,50.0Mil,0.7Bil,"5,300",Industrials,Diversified Industrials
SWJ,Stonewall Resources Ltd,Stonewall Resources Ltd is a gold exploration company. The Company owns mines located in the eastern gold fields of South Africa. Its principal projects comprise the TGME Project and the Bosveld Project.,,http://www.meridienresources.com.au,32.0Mil,-6.8Mil,0.0Mil,,Basic Materials,Gold
SWK,Stanley Black & Decker Inc,"Stanley Black & Decker Inc is a diversified provider of power & hand tools, products & services for various industrial applications, mechanical access solutions (i.e. automatic doors & commercial locking systems), electronic security & monitoring systems.",Cyclical,http://www.stanleyblackanddecker.com,18.3Bil,1.0Bil,11.3Bil,"51,250",Industrials,Tools & Accessories
SGU,Star Gas Partners LP,Star Gas Partners LP is a home heating oil & propane distributor and services provider. It provides services to residential and commercial customers to heat its homes and buildings.,Hard,http://www.star-gas.com,0.6Bil,18.7Mil,1.2Bil,"3,101",Energy,Oil & Gas Midstream
SRT,StarTek Inc,"StarTek Inc is a provider of business process outsourcing services. Its services include customer care, sales support, inbound sales, complex order processing, accounts receivable management, technical and product support, up-sell and cross-sell.",Distressed,http://www.startek.com,0.1Bil,-0.5Mil,0.3Bil,"14,500",Industrials,Business Services
